input_url,http_status,final_url,status,product_url,notes
https://sunhouse.com.vn/search/HTB016,200,https://sunhouse.com.vn/search/HTB016,unknown,,no signals found
https://sunhouse.com.vn/search/SHB5599HP,200,https://sunhouse.com.vn/search/SHB5599HP,unknown,,no signals found
https://sunhouse.com.vn/search/APB081,200,https://sunhouse.com.vn/search/APB081,unknown,,no signals found
https://sunhouse.com.vn/search/MMB82968-T,200,https://sunhouse.com.vn/search/MMB82968-T,unknown,,no signals found
https://sunhouse.com.vn/search/MMB5674LH,200,https://sunhouse.com.vn/search/MMB5674LH,unknown,,no signals found
https://sunhouse.com.vn/search/SHB72011-MD,200,https://sunhouse.com.vn/search/SHB72011-MD,unknown,,no signals found
https://sunhouse.com.vn/search/UTM-CB.SX02-CT,200,https://sunhouse.com.vn/search/UTM-CB.SX02-CT,not_found,,long not-found message
https://sunhouse.com.vn/search/MMB5673LH,200,https://sunhouse.com.vn/search/MMB5673LH,unknown,,no signals found
https://sunhouse.com.vn/search/UTM-CB.SX02MT-CT,200,https://sunhouse.com.vn/search/UTM-CB.SX02MT-CT,not_found,,long not-found message
https://sunhouse.com.vn/search/SHB555PRO,200,https://sunhouse.com.vn/search/SHB555PRO,unknown,,no signals found
https://sunhouse.com.vn/search/UTM-CB.SX01-AT,200,https://sunhouse.com.vn/search/UTM-CB.SX01-AT,not_found,,long not-found message
https://sunhouse.com.vn/search/SHB-567HA,200,https://sunhouse.com.vn/search/SHB-567HA,unknown,,no signals found
https://sunhouse.com.vn/search/MMB58869,200,https://sunhouse.com.vn/search/MMB58869,unknown,,no signals found
https://sunhouse.com.vn/search/SHB72103-MD,200,https://sunhouse.com.vn/search/SHB72103-MD,unknown,,no signals found
https://sunhouse.com.vn/search/SHB72095-MD,200,https://sunhouse.com.vn/search/SHB72095-MD,unknown,,no signals found
https://sunhouse.com.vn/search/UTM-CB.SX01MT-AT,200,https://sunhouse.com.vn/search/UTM-CB.SX01MT-AT,not_found,,long not-found message
https://sunhouse.com.vn/search/SHB568HL,200,https://sunhouse.com.vn/search/SHB568HL,unknown,,no signals found
https://sunhouse.com.vn/search/MMB5678,200,https://sunhouse.com.vn/search/MMB5678,unknown,,no signals found
https://sunhouse.com.vn/search/MMB5668-Plus,200,https://sunhouse.com.vn/search/MMB5668-Plus,unknown,,no signals found
https://sunhouse.com.vn/search/UTM72073-M,200,https://sunhouse.com.vn/search/UTM72073-M,not_found,,long not-found message
https://sunhouse.com.vn/search/UTM72063-MMT,200,https://sunhouse.com.vn/search/UTM72063-MMT,not_found,,long not-found message
https://sunhouse.com.vn/search/SHB5599BN,200,https://sunhouse.com.vn/search/SHB5599BN,unknown,,no signals found
https://sunhouse.com.vn/search/UTM72043-T,200,https://sunhouse.com.vn/search/UTM72043-T,unknown,,no signals found
https://sunhouse.com.vn/search/UTM72033-TMD,200,https://sunhouse.com.vn/search/UTM72033-TMD,not_found,,long not-found message
https://sunhouse.com.vn/search/UTM-CB.SX02-B,200,https://sunhouse.com.vn/search/UTM-CB.SX02-B,not_found,,long not-found message
https://sunhouse.com.vn/search/SHB586,200,https://sunhouse.com.vn/search/SHB586,unknown,,no signals found
https://sunhouse.com.vn/search/SHB5598HT,200,https://sunhouse.com.vn/search/SHB5598HT,unknown,,no signals found
https://sunhouse.com.vn/search/UTM72053-TMT,200,https://sunhouse.com.vn/search/UTM72053-TMT,not_found,,long not-found message
https://sunhouse.com.vn/search/UTM72085-M,200,https://sunhouse.com.vn/search/UTM72085-M,not_found,,long not-found message
