ticket,opening_time_utc,closing_time_utc,type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,swap_usd,profit_usd,equity_usd,margin_level,close_reason
509462026,2025-10-16T13:19:44.470000,2025-10-16T13:22:10.298000,sell,0.02,0.02,XAUUSD,4249.37,4251.745,4251.47,4215.4,0,0,-4.75,,,sl
509512626,2025-10-16T12:55:08.963000,2025-10-16T13:01:13.572000,sell,0.03,0.03,XAUUSD,4239.431,4241.008,4240.755,4215.378,0,0,-4.73,,,sl
509451577,2025-10-16T12:35:22.983000,2025-10-16T12:35:36.076000,sell,0.02,0.02,XAUUSD,4247.008,4248.788,4248.52,,0,0,-3.56,,,sl
509443337,2025-10-16T12:34:28.473000,2025-10-16T12:34:36.331000,sell,0.03,0.03,XAUUSD,4246.776,4248.066,4248.066,4211.81,0,0,-3.87,,,sl
509448244,2025-10-16T12:34:10.870000,2025-10-16T12:34:36.185000,sell,0.02,0.02,XAUUSD,4246.18,4248,4248,,0,0,-3.64,,,sl
509440492,2025-10-16T12:31:38.696000,2025-10-16T12:33:04.352000,sell,0.03,0.03,XAUUSD,4244.25,4245.822,4245.51,4211.876,0,0,-4.72,,,sl
509424212,2025-10-16T12:22:13.470000,2025-10-16T12:23:20.528000,buy,0.03,0.03,XAUUSD,4240.223,4238.797,4239.223,,0,0,-4.28,,,sl
508212042,2025-10-15T20:02:37.343000,2025-10-15T20:20:05.842000,sell,0.02,0.02,XAUUSD,4212.05,4206.886,4213.75,4206.886,0,0,10.33,,,tp
508159287,2025-10-15T18:48:30.197000,2025-10-15T19:20:57.880000,buy,0.01,0.02,XAUUSD,4196.353,4211.353,4196.363,4211.353,0,0,15,,,tp
508159287,2025-10-15T18:48:30.197000,2025-10-15T19:03:23.454000,buy,0.01,0.02,XAUUSD,4196.353,4204.606,4196.363,4211.353,,0,8.26,,,user
508076013,2025-10-15T17:13:22.851000,2025-10-15T17:13:35.328000,buy,0.02,0.02,XAUUSD,4188.063,4186.063,4186.063,,0,0,-4,,,sl
508040487,2025-10-15T16:43:01.658000,2025-10-15T17:12:21.403000,buy,0.02,0.02,XAUUSD,4191.8,4189.8,4189.8,4213.681,0,0,-4,,,sl
507886046,2025-10-15T15:25:12.105000,2025-10-15T15:40:53.339000,sell,0.02,0.02,XAUUSD,4202,4194.87,4194.494,4184.28,0,0,14.26,,,sl
507550419,2025-10-15T13:02:41.579000,2025-10-15T14:03:59.180000,buy,0.02,0.02,XAUUSD,4183.158,4203.158,4183.169,4203.158,0,0,40,,,tp
507494068,2025-10-15T12:26:30.606000,2025-10-15T12:30:10.753000,buy,0.02,0.02,XAUUSD,4181.972,4179.128,4179.972,,0,0,-5.68,,,sl
507486387,2025-10-15T12:24:02.677000,2025-10-15T12:24:14.011000,buy,0.02,0.02,XAUUSD,4182.28,4180.28,4180.28,,0,0,-4,,,sl
507475433,2025-10-15T12:20:00.337000,2025-10-15T12:20:29.983000,buy,0.01,0.01,XAUUSD,4186.422,4182.112,4182.705,4210.41,0,0,-4.31,,,sl
503834974,2025-10-13T15:52:50.320000,2025-10-13T15:55:40.584000,sell,0.02,0.02,XAUUSD,4102.19,4104.19,4104.19,4081.672,0,0,-4,,,sl
503882770,2025-10-13T15:51:10.875000,2025-10-13T15:52:35.513000,sell,0.02,0.02,XAUUSD,4099.84,4101.34,4101.34,4081.543,0,0,-3,,,sl
503753646,2025-10-13T14:40:53.356000,2025-10-13T14:46:02.652000,sell,0.02,0.02,XAUUSD,4098.23,4099.73,4099.73,4081.768,0,0,-3,,,sl
503722378,2025-10-13T14:25:01.733000,2025-10-13T14:30:30.894000,sell,0.02,0.02,XAUUSD,4095.436,4097.265,4097.265,,0,0,-3.66,,,sl
503677489,2025-10-13T14:04:58.184000,2025-10-13T14:23:57.176000,sell,0.02,0.02,XAUUSD,4095.17,4096.92,4096.92,4081.68,0,0,-3.5,,,sl
503663022,2025-10-13T13:55:51.974000,2025-10-13T14:00:46.958000,sell,0.02,0.02,XAUUSD,4095.047,4096.29,4096.047,4070.047,0,0,-2.49,,,sl
503654556,2025-10-13T13:51:23.866000,2025-10-13T13:54:46.470000,sell,0.02,0.02,XAUUSD,4092.975,4094.975,4094.975,,0,0,-4,,,sl
503599847,2025-10-13T13:48:46.392000,2025-10-13T13:50:27.542000,sell,0.01,0.01,XAUUSD,4091.17,4093.67,4093.67,,0,0,-2.5,,,sl
503593637,2025-10-13T13:30:44.329000,2025-10-13T13:50:27.338000,sell,0.01,0.01,XAUUSD,4089.67,4093.67,4093.67,4066.291,0,0,-4,,,sl
503564366,2025-10-13T13:23:17.667000,2025-10-13T13:24:27.256000,sell,0.02,0.02,XAUUSD,4088.26,4090.26,4090.26,4060.008,0,0,-4,,,sl
503494335,2025-10-13T13:06:00.635000,2025-10-13T13:09:52.371000,sell,0.01,0.01,XAUUSD,4084.58,4086.08,4086.08,4060.075,0,0,-1.5,,,sl
503492674,2025-10-13T13:05:12.151000,2025-10-13T13:09:52.365000,sell,0.01,0.01,XAUUSD,4083.58,4086.08,4086.08,4060.1,0,0,-2.5,,,sl
501108679,2025-10-10T15:36:09.334000,2025-10-10T16:05:28.127000,sell,0.01,0.01,XAUUSD,4020.116,3990.116,4023.183,3990.116,0,0,30,,,tp
501070610,2025-10-10T15:23:25.815000,2025-10-10T15:24:22.648000,sell,0.01,0.01,XAUUSD,4010.37,4014.37,4014.37,,0,0,-4,,,sl
501035456,2025-10-10T15:10:06.252000,2025-10-10T15:17:04.538000,sell,0.01,0.01,XAUUSD,4010.036,4013.036,4013.036,,0,0,-3,,,sl
501030797,2025-10-10T15:08:38.503000,2025-10-10T15:09:19.026000,sell,0.02,0.02,XAUUSD,4008.691,4011.199,4011.191,3996.58,0,0,-5.02,,,sl
501001516,2025-10-10T15:06:01.662000,2025-10-10T15:06:10.552000,sell,0.01,0.01,XAUUSD,4003.125,4007.125,4007.125,,0,0,-4,,,sl
