ticket,opening_time_utc,closing_time_utc,type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,swap_usd,profit_usd,equity_usd,margin_level,close_reason
197182699,2025-10-27T12:49:53.433000,2025-10-27T12:50:07.744000,sell,0.02,0.02,XAUUSD,4043.556,4046.056,4046.056,4018.698,0,0,-5,,,sl
197160134,2025-10-27T12:17:46.248000,2025-10-27T12:24:06.160000,sell,0.02,0.02,XAUUSD,4035.78,4038.7830000000004,4038.38,,0,0,-6.01,,,sl
195597181,2025-10-24T16:41:02.854000,2025-10-24T17:17:08.155000,buy,0.01,0.01,XAUUSD,4123.15,4123.16,4123.16,4135.65,0,0,0.01,,,sl
195528373,2025-10-24T15:18:37.774000,2025-10-24T16:09:13.852000,buy,0.01,0.02,XAUUSD,4114.49,4135.251,4120.65,4144.312,0,0,20.76,,,user
195528373,2025-10-24T15:18:37.774000,2025-10-24T15:24:02.542000,buy,0.01,0.02,XAUUSD,4114.49,4127.237,4120.65,4144.312,,0,12.75,,,user
195515351,2025-10-24T14:48:20.945000,2025-10-24T14:52:57.062000,buy,0.01,0.01,XAUUSD,4121.62,4118.145,4119.62,4127.62,0,0,-3.47,,,sl
195519539,2025-10-24T14:52:12.207000,2025-10-24T14:52:57.007000,buy,0.01,0.01,XAUUSD,4121.62,4118.326,4119.62,4127.62,0,0,-3.29,,,sl
195265882,2025-10-24T12:33:56.942000,2025-10-24T13:06:14.448000,sell,0.01,0.02,XAUUSD,4091.47,4093.97,4093.97,4009.699,0,0,-2.5,,,sl
195265882,2025-10-24T12:33:56.942000,2025-10-24T12:48:55.553000,sell,0.01,0.02,XAUUSD,4091.47,4075.9170000000004,4093.97,4009.699,,0,15.55,,,user
194306789,2025-10-23T17:26:14.489000,2025-10-23T18:26:31.888000,buy,0.02,0.02,XAUUSD,4125.603,4142.142,4123.103,4142.142,0,0,33.07,,,tp
194297564,2025-10-23T17:23:15.717000,2025-10-23T17:24:02.531000,buy,0.02,0.02,XAUUSD,4130.54,4127.389,4128.04,4151.962,0,0,-6.3,,,sl
194095110,2025-10-23T14:18:49.733000,2025-10-23T15:21:10.564000,buy,0.02,0.02,XAUUSD,4138.046,4138.105,4138.105,4154.696,0,0,0.12,,,sl
193876448,2025-10-23T12:14:52.638000,2025-10-23T12:23:20.215000,buy,0.02,0.02,XAUUSD,4104.069,4100.63,4101.569,4129.135,0,0,-6.88,,,sl
193026330,2025-10-22T19:00:23.026000,2025-10-22T19:01:48.586000,sell,0.02,0.02,XAUUSD,4079.325,4081.825,4081.825,4022.139,0,0,-5,,,sl
193019423,2025-10-22T18:30:22.929000,2025-10-22T18:35:01.297000,sell,0.02,0.02,XAUUSD,4076.61,4079.4230000000002,4079.11,4014.517,0,0,-5.63,,,sl
193008921,2025-10-22T18:14:14.845000,2025-10-22T18:14:42.440000,sell,0.02,0.02,XAUUSD,4073.206,4075.706,4075.706,4048.206,0,0,-5,,,sl
192918911,2025-10-22T16:38:03.487000,2025-10-22T17:48:21.488000,sell,0.01,0.02,XAUUSD,4062.25,4062.24,4062.24,4014.787,0,0,0.01,,,sl
192918911,2025-10-22T16:38:03.487000,2025-10-22T17:04:49.666000,sell,0.01,0.02,XAUUSD,4062.25,4046.9,4062.24,4014.787,,0,15.35,,,user
192604775,2025-10-22T13:36:59.691000,2025-10-22T13:37:02.322000,sell,0.02,0.02,XAUUSD,4066.56,4069.8540000000003,4069.06,4022.847,0,0,-6.59,,,sl
192619141,2025-10-22T13:35:33.030000,2025-10-22T13:35:45.126000,sell,0.02,0.02,XAUUSD,4061.398,4063.898,4063.898,4022.817,0,0,-5,,,sl
192588024,2025-10-22T13:11:42.876000,2025-10-22T13:11:59.049000,sell,0.02,0.02,XAUUSD,4064.584,4067.414,4067.084,4023.149,0,0,-5.66,,,sl
191001170,2025-10-21T13:36:11.993000,2025-10-21T13:36:22.460000,sell,0.02,0.02,XAUUSD,4207.55,4210.05,4210.05,4186.306,0,0,-5,,,sl
